name,review,date,rating
JKRS JB TV,Nice place,a year ago, 4 stars 
Parag Masteh,Great team to work with,3 years ago, 5 stars 
Sachin Kidiyoor,Good place to work and learn along the way.,4 years ago, 5 stars 
Roopa Kantharaj,,3 years ago, 5 stars 
Harish Kumar,,3 years ago, 5 stars 
Ashish Varghese Mathew,,a year ago, 5 stars 
Nidarshan K S,,3 years ago, 5 stars 
parag masteh,,3 years ago, 5 stars 
Dheeraj pal,,3 years ago, 1 star 
Mithun Raj,,2 years ago, 5 stars 
Sanjay K,,3 years ago, 5 stars 
JIMSHA DAS,,4 years ago, 3 stars 
Kaushal Singh,,4 years ago, 5 stars 
Gaurav Asthana,,3 years ago, 4 stars 
Nirmal Koshy,,4 years ago, 5 stars 
Tarun Kumar,,3 years ago, 3 stars 
Chinthana Ks,,3 years ago, 5 stars 
Isha Khan,,4 years ago, 4 stars 
Anusree Mathew,,3 years ago, 5 stars 
